id, date, sales, stock
641, 2024-09-04, 4, 17
232, 2024-09-04, 16, 0
998, 2024-09-04, 0, 8
468, 2024-09-04, 15, 17
272, 2024-09-04, 26, 19
598, 2024-09-04, 18, 28
246, 2024-09-04, 8, 22
837, 2024-09-04, 25, 26
743, 2024-09-04, 20, 0
359, 2024-09-04, 21, 0
783, 2024-09-04, 12, 6
530, 2024-09-04, 0, 14
641, 2024-09-05, 21, 4
232, 2024-09-05, 11, 12
998, 2024-09-05, 29, 24
468, 2024-09-05, 15, 0
272, 2024-09-05, 0, 29
598, 2024-09-05, 14, 9
246, 2024-09-05, 4, 0
837, 2024-09-05, 6, 0
743, 2024-09-05, 0, 5
359, 2024-09-05, 27, 26
783, 2024-09-05, 0, 1
530, 2024-09-05, 0, 28
641, 2024-09-06, 2, 3
232, 2024-09-06, 28, 0
998, 2024-09-06, 20, 23
468, 2024-09-06, 21, 0
272, 2024-09-06, 0, 0
598, 2024-09-06, 0, 10
246, 2024-09-06, 0, 0
837, 2024-09-06, 28, 0
743, 2024-09-06, 5, 1
359, 2024-09-06, 17, 29
783, 2024-09-06, 7, 0
530, 2024-09-06, 24, 0
641, 2024-09-07, 0, 3
232, 2024-09-07, 0, 7
998, 2024-09-07, 0, 9
468, 2024-09-07, 0, 15
272, 2024-09-07, 14, 10
598, 2024-09-07, 11, 15
246, 2024-09-07, 28, 19
837, 2024-09-07, 0, 2
743, 2024-09-07, 4, 5
359, 2024-09-07, 0, 28
783, 2024-09-07, 0, 2
530, 2024-09-07, 1, 0
641, 2024-09-08, 19, 2
232, 2024-09-08, 4, 5
998, 2024-09-08, 0, 0
468, 2024-09-08, 3, 0
272, 2024-09-08, 13, 0
598, 2024-09-08, 23, 28
246, 2024-09-08, 0, 29
837, 2024-09-08, 0, 0
743, 2024-09-08, 21, 0
359, 2024-09-08, 26, 3
783, 2024-09-08, 0, 13
530, 2024-09-08, 14, 22
641, 2024-09-09, 29, 0
232, 2024-09-09, 0, 0
998, 2024-09-09, 18, 0
468, 2024-09-09, 20, 0
272, 2024-09-09, 25, 0
598, 2024-09-09, 21, 0
246, 2024-09-09, 0, 26
837, 2024-09-09, 9, 6
743, 2024-09-09, 21, 0
359, 2024-09-09, 5, 18
783, 2024-09-09, 27, 0
530, 2024-09-09, 4, 13
641, 2024-09-10, 4, 4
232, 2024-09-10, 27, 0
998, 2024-09-10, 11, 23
468, 2024-09-10, 22, 19
272, 2024-09-10, 4, 23
598, 2024-09-10, 11, 0
246, 2024-09-10, 22, 11
837, 2024-09-10, 0, 0
743, 2024-09-10, 14, 0
359, 2024-09-10, 24, 0
783, 2024-09-10, 16, 28
530, 2024-09-10, 28, 0
641, 2024-09-11, 12, 0
232, 2024-09-11, 14, 0
998, 2024-09-11, 0, 0
468, 2024-09-11, 9, 0
272, 2024-09-11, 10, 0
598, 2024-09-11, 24, 6
246, 2024-09-11, 0, 22
837, 2024-09-11, 0, 0
743, 2024-09-11, 0, 5
359, 2024-09-11, 0, 0
783, 2024-09-11, 0, 14
530, 2024-09-11, 0, 0
641, 2024-09-12, 0, 5
232, 2024-09-12, 15, 9
998, 2024-09-12, 2, 0
468, 2024-09-12, 29, 8
272, 2024-09-12, 0, 13
598, 2024-09-12, 0, 17
246, 2024-09-12, 18, 0
837, 2024-09-12, 13, 23
743, 2024-09-12, 6, 0
359, 2024-09-12, 2, 16
783, 2024-09-12, 20, 4
530, 2024-09-12, 0, 0
641, 2024-09-13, 13, 9
232, 2024-09-13, 0, 0
998, 2024-09-13, 0, 0
468, 2024-09-13, 26, 0
272, 2024-09-13, 2, 0
598, 2024-09-13, 5, 0
246, 2024-09-13, 0, 0
837, 2024-09-13, 20, 29
743, 2024-09-13, 24, 21
359, 2024-09-13, 0, 0
783, 2024-09-13, 3, 5
530, 2024-09-13, 0, 9
641, 2024-09-14, 16, 4
232, 2024-09-14, 5, 6
998, 2024-09-14, 24, 0
468, 2024-09-14, 8, 0
272, 2024-09-14, 3, 5
598, 2024-09-14, 18, 6
246, 2024-09-14, 29, 24
837, 2024-09-14, 17, 29
743, 2024-09-14, 0, 0
359, 2024-09-14, 9, 0
783, 2024-09-14, 9, 28
530, 2024-09-14, 3, 16
641, 2024-09-15, 19, 27
232, 2024-09-15, 23, 20
998, 2024-09-15, 0, 0
468, 2024-09-15, 0, 22
272, 2024-09-15, 0, 0
598, 2024-09-15, 0, 13
246, 2024-09-15, 13, 8
837, 2024-09-15, 3, 4
743, 2024-09-15, 26, 9
359, 2024-09-15, 0, 5
783, 2024-09-15, 23, 0
530, 2024-09-15, 17, 9
641, 2024-09-16, 0, 1
232, 2024-09-16, 0, 0
998, 2024-09-16, 13, 0
468, 2024-09-16, 9, 27
272, 2024-09-16, 3, 0
598, 2024-09-16, 0, 0
246, 2024-09-16, 21, 14
837, 2024-09-16, 12, 16
743, 2024-09-16, 0, 26
359, 2024-09-16, 12, 0
783, 2024-09-16, 25, 0
530, 2024-09-16, 12, 12
641, 2024-09-17, 1, 0
232, 2024-09-17, 10, 27
998, 2024-09-17, 0, 24
468, 2024-09-17, 0, 0
272, 2024-09-17, 4, 0
598, 2024-09-17, 4, 6
246, 2024-09-17, 25, 15
837, 2024-09-17, 12, 0
